100	15229.2	15948.4
101	16223.8	16278.8
102	16307.6	16612.2
103	17113.3	16948.5
104	17036.5	17287.8
105	17191.6	17630.1
106	17813.6	17975.4
107	18193.3	18323.6
108	18835.8	18674.9
109	19452.3	19029.1
110	19134.9	19386.3
111	19997.2	19746.4
112	19823.2	20109.6
113	21954.9	20475.7
114	21095.8	20844.8
115	21522.4	21216.9
116	21132.8	21591.9
117	21638.2	21970
118	21984.6	22351
119	22394.9	22735
120	25034.5	23121.9
121	22552.1	23511.9
122	26045	23904.8
123	23525.5	24300.7
124	24309.7	24699.6
125	25418.5	25101.5
126	25477.8	25506.3
127	26252	25914.1
128	25587.8	26324.9
129	26785.1	26738.7
130	27135.2	27155.5
131	26979.6	27575.2
132	27592.1	27997.9
133	28062.4	28423.6
134	28583.4	28852.3
135	28635.7	29283.9
136	29967.7	29718.6
137	30258	30156.2
138	30946.8	30596.8
139	30804.2	31040.3
140	31386.1	31486.9
141	31445.1	31936.4
142	35680	32388.9
143	32732	32844.4
144	32651.5	33302.8
145	33136.9	33764.3
146	34041.2	34228.7
147	35335.7	34696.1
148	38959	35166.4
149	35103.1	35639.8
150	35841.3	36116.1
151	35656.7	36595.4
152	36374.2	37077.7
153	37692.4	37563
154	37231.8	38051.2
155	38563.5	38542.4
156	40476	39036.6
157	38877.7	39533.8
158	39043.1	40034
159	39688.9	40537.1
160	41416.9	41043.2
161	41121.2	41552.3
162	41948	42064.4
163	41752.5	42579.4
164	43703.9	43097.4
165	43385.6	43618.4
166	44887.8	44142.4
167	44412.4	44669.4
168	45094.7	45199.3
169	46275	45732.2
170	46763.9	46268.1
171	46973.9	46807
172	48812.9	47348.9
173	45718.7	47893.7
174	47825.3	48441.5
175	49022	48992.3
176	49637	49546.1
177	49167.5	50102.8
178	51127.6	50662.5
179	50478.3	51225.2
180	51397.9	51790.9
181	51963.9	52359.6
182	53538.9	52931.2
183	52998.6	53505.8
184	54782.7	54083.4
185	53940	54664
186	54536.5	55247.6
187	56275	55834.1
188	57232.9	56423.6
189	57471.1	57016.1
190	57832.3	57611.6
191	58418.1	58210
192	58143.7	58811.4
193	59295.5	59415.8
194	60748	60023.2
195	61437.2	60633.6
196	61593.3	61246.9
197	61724.1	61863.2
198	60794.4	62482.5
199	62954.5	63104.8
200	65030.4	63730.1
